text,text_summary
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 11 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
3.2 
Coil press setup 
 Cut the separating sheets to size (according to the size of the clamping plates). 
 Powder the separating sheets and spacers with a talcum as required. 
 The thickness of the intermediate spacers is determined by the width of the conductor assembly 
(see table 3).  
 The length of the intermediate spacers is as follows: 
Minimum: 
Length of the straight coil sides as specified in the stator coil drawing  
Maximum: 
Minimum length + 150 mm 
 
Table 3: 
Conductor assembly in slot side width 
[mm]     (acc. to stator winding drawing) 
Thickness of intermediate 
spacers [mm] 
> 4,0 -  5,0 
4,0 
>  5,0 -  6,0 
5,0 
>  6,0 -  7,0 
6,0 
>  7,0 -  8,0 
7,0 
>  8,0 -  9,0 
8,0 
>  9,0 - 10,0 
9,0 
> 10,0 - 11,0 
10,0 
> 11,0 - 12,0 
11,0 
> 12,0 - 13,0 
12,0 
> 13,0 - 14,0 
13,0 
> 14,0 - 15,0 
14,0 
> 15,0 - 16,0 
15,0 
 
 Insert the clamping spacers into the press. 
 Insert the bottom partitions. Position the separating sheet on the partitions. 
 Insert the coils. Make sure all long coil ends are on the outside, so that they cannot be caught up. 
 Insert the intermediate spacers so that they are offset and so that the conductor assembly on the 
overhang is not subjected to pressure at one end (see fig. 4). 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Coil press setup: cut and powder separating sheets, determine intermediate spacer thickness based on conductor assembly width, and assemble coils with clamping spacers, bottom partitions, and separating sheets."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 12 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
 
figure 4 
 
 
 Insert additional spacers for missing coils (at the end of a coil assembly). 
 Position the separating sheet on the coils. Insert the top partitions. 
3.3 
Bond coil sides 
 Close the press (i.e. move the layers together) 
 Close the fall arrester 
 Start the automatic 
 Set lateral pressure to 100 bar  
 Set vertical pressure to 50 bar  
 When the press reaches 80°C reduce the vertical pressure to 5 bar 
 Adjust final pressure (vertical and lateral) according to table 4 
 
 
 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Includes steps for inserting spacers, positioning separating sheets, bonding coil sides, and adjusting pressure in a press."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 13 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
 
 
 
 
 
 
 
 
 
 
 
Example: 
Occupied clamping plate length = 650mm  pressure (vertical and lateral) = 110 bar 
 After the temperature of 150°C is reached, the machine holds its temperature for two minutes  
 Start the cooling system afterwards  
 Open the fall arrester, when 60°C is reached to open the press levels 
 Set horizontal and vertical pressure to 0 
 Open the press 
 Take the coils and lay them on a transport wagon. Pay attention that no coil ends damage the 
insulation. 
Occupied clamping plate length [mm] 
Pressure (±10 bar) 
(vertical and lateral) 
> 500 
100 
> 600 
110 
> 700 
120 
> 800 
130 
> 900 
140 
> 1000 
150 
Table 4: pressure according to clamping plate length 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Example procedure: occupied clamping plate length, pressure, and temperature settings for coil production."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 14 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
4 
Coil spreading 
Equipment:  
Hydraulic coil spreading machines Inv.-Nos. 603408 
 
Tools:  
Mallet, plane, rule, fitter’s knife, Standard gauge for rounding,  
Angle gauge (W890421.020) 
4.1 
Spreading general 
 Every part of the machine that gets in touch with the coil has to be oil and fat free. 
 Any damage to conductor insulation hast to be repaired (see part 12). 
4.2 
Hydraulic coil spreading machine 2015 company Schümann 
 See also FA 30377 ( Inv.-Nos. 44206483 / 44206861) 
4.3 
Hydraulic coil spreading machine Inv.-Nos. 603408 
 The following functions should be set on the coil spreading machine prior to spreading the coils: 
- 
Radius at the coil nose (bolts, refer to the stator coil spreading for dimension). 
The surfaces of the nose clamping jaws must be coated with Vulkollan before starting each 
new coil assembly. 
- 
Length of the alignment dimension (refer to the stator coil drawing for dimension). 
- 
Length of the rails (refer to the stator coil spreading for dimension). 
- 
Step width (refer to the stator coil drawing for dimension). 
- 
Spreading angle (refer to the stator coil spreading for dimension). 
- 
Alignment of the coil nose (refer to the stator coil drawing for dimension). Note the different 
dimensions for the connection and non-connection ends. 
- 
Coat the clamping jaws for the coil sides with a sufficient amount of Vulkollan to ensure that 
the sides are taut. The clamping jaws must be coated at least 1 mm thick to avoid damaging 
the insulation of the individual strands during the wire-spreading process. 
Adjust the clamping jaw radii according to the wire-spreading radius (refer to the stator coil 
drawing). 
FA_30337/AE/006 Released 2018-02-01
","Coil spreading instruction for high voltage coils in VPI design. Equipment includes hydraulic coil spreading machines Inv.-Nos. 603408 and 44206483/44206861. Tools required: mallet, plane, rule, fitter's knife, standard gauge, and angle gauge. Instructions cover general spreading, setting machine functions, and coating clamping jaws with Vulkollan."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 15 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
 Move the coil spreading machine into the starting position. 
The internal coil lead is bent perpendicular to the coil. The external coil lead is bent around the 
nose (see Fig. 5). 
 
figure 5 
 
 
Fit the coil over the bolts of the nose clamping jaws and close the jaws. 
Insert the coil in the coil spreading machine as shown in Fig. 6. Refer to the stator coil 
drawing. 
 
figure 6 
Coil spreading machine 
Top layer 
Bottom layer 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction for high voltage coils in VPI design. Step-by-step process includes moving the coil spreading machine, bending internal and external coil leads, fitting the coil over bolts, and inserting it into the machine."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 16 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
 Clamp the coil sides in the clamping jaws. 
Stabilize the overhangs of 2-pole windings with U-rails and/or Velcro tape. 
Additional stabilization may occasionally be necessary in the overhang if the strands intermingle. 
 Spread the coils (release the automatic system). 
 Align the wire-spreading radii and the overhangs. 
Tap the overhangs with the plane and the mallet in the vicinity of the wire-spreading radii, in order 
to ensure compliance with the radii specified in the stator coil drawing. 
 Relieve the tension on the wire-spreading machine (release the hydraulic system). 
Arch the overhangs and check them with the arch gauge. Refer to the stator coil spreading for the 
overhang arch radius. 
 Open the clamping jaws on the coil sides and noses and remove the coil. 
 Realign the coil leads (in other words, match them to the overhang contours). 
 Put coils on the transport wagon. 
 
 
 
No 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing instruction for making and insulating high voltage coils in VPI design. The process involves clamping the coil sides, stabilizing overhangs, spreading coils, aligning wire-spreading radii, relieving tension, arching overhangs, and removing the coil."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 17 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
5 
Sleeving insulation of connection ends (≤ 6,6 kV) 
5.1 
General sleeving insulation of connection end 
 The ends of coils on stator windings with a rated voltage up to and including 6.6 kV are insulated 
with insulation sleeving (item. 55). Refer to fig. 7 and fig. 8 for the length of the insulation sleeving. 
 Dimensions of start „A“ and end „E“ are noted in the drawing / parts lists (refer to fig. 7, item. A1-
A20 & E1-E20). 
 Any damage to conductor insulation hast to be repaired (see part 12). 
 
 
figure 7 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Section 5: Sleeving insulation of connection ends (up to 6.6 kV). General sleeving insulation of connection end, dimensions noted in drawings and parts lists."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 18 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
5.2 
Insulation length at connection ends 
 The insulation area depends on the given data (bail connection / stub connection / radial wiring), 
Voltage level, coil height und length of connection ends. 
 Insulation in area X and X’ (figure 8): 
- 
X (upper side) = a + coil height + b 
- 
X’ (lower side) = e + coil height + b 
 
figure 8 
 
 
 
 
FA_30337/AE/006 Released 2018-02-01
","Here is a concise summary of the text optimized for retrieval:

""Manufacturing instruction for high voltage coils in VPI design. Section 5.2 discusses insulation length at connection ends, dependent on data, voltage level, coil height, and length of connection ends."""
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 19 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
5.2.1 Length of connection ends („A“; „E“) < 250 mm (coil connection) 
Table 5: 
 
 
 
 
 
 
 
 
 
 
 Dimensions „a“ and „e“ according to table 5. 
 Tolerance a and e: + 5 mm (negative deviations aren’t allowed!) 
 b = min. 95 mm 
 
b is a combination of the distance between the loop to the inside of the coil nose (35+/-5mm), 
the loop itself (ca. 15mm) and the min. overlapping length of min 40mm 
Example:  stubs 6,6 kV and coil side height = 45mm; length of connection end ≤ 220 mm 
 Insulation length (Min) for X = a + coil side height + b and X’ = e + coil side height + b 
 X = 35 + 45 + 95 = 175mm 
 
 X’ = 50 + 45 + 95 = 190mm 
5.2.2 Connection ends („A“; „E“) ≥ 250 mm (interconnection) 
 
measure „d“ = 150 mm 
 
measures for „a“ und „e“ depend on the measure d. 
 
b = min. 95 mm but max. to the middle of the front 
Example:  stubs 6.6 kV und coil side height = 45mm, length of connection end = 400 mm 
 Minimal X = X’ = (400-150) + 45 + 95 = 390mm 
Exception radial connection:  
Distinguishing characteristic: Measure CS is given by the parts lists (item. 1 HS_SPULE_WERTE). 
Particularities: Insulate connection ends according of the drawing (Staenderspule-HS). The 
measure “E” deviates from X’ through this in case of a radial circuit. 
Voltage level [kV] 
Coil side height [mm] a [mm] e [mm] 
bail: 
 
 
 
≤ 6,6 
 
25 
15 
stub: 
 
 
 
≤ 4,16 
 
30 
35 
> 4,16 ≤ 6,6 
< 40 
35 
40 
> 4,16 ≤ 6,6 
≥ 40 
35 
50 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Section 5.2.1 covers connection ends ""A"" and ""E"" with length ≤ 250mm (coil connection), including dimensions, tolerances, and examples. Section 5.2.2 covers connection ends ""A"" and ""E"" with length ≥ 250mm (interconnection), including measures ""a"", ""e"", and ""d"", as well as examples."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 20 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
5.3 
Course of coil connection insulation 
 The course of insulation depends on the insulation around the slot side and front side. If the front 
side needs to be insulated by hand, is defined in point 6.1. 
5.3.1 Course if the slot side gets insulated first (machine) 
 The sliding of the insulation sleeve is done during machine insulating. Affix additionally an 
acceleration pad (item 48) according to figure 9 at the position of the eighter loop. The acceleration 
pad has to be added, at the coils with number of poles ≥ 6, during the machine insulating. Pay 
attention that the acceleration pad has a minimal length of the sleeving but is allowed to be longer 
than the sleeve in direction of the slot side. The mechanical insulation isn’t allowed to insulate the 
sleeve. The final sleeve position (length a and e) is done during the manual insulation with a 
template and the accelerator pad is fixed with a tape at the sleeve. Afterwards the coil head needs 
to be insulated using mica tape. The connection ends get over- and under-looped until the sleeve is 
insulated by min. 40mm.  
After the use of the cover band the yellow duct tape (used to affix the acceleration pad) has 
to be totally covered. 
5.3.2 Course if the front side gets insulated first (manual) 
 In general the course follows the same pattern as described above. However the end position of 
the insulation tubing gets defined with the pre-insulation. The following mechanical insulation is 
allowed to overlap the layering of the connection end insulation. 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction for high voltage coils in VPI design. Section 5.3 covers the course of coil connection insulation. The course depends on the insulation around the slot and front sides. If the front side is insulated manually, it is defined in point 6.1."
" s  
PD LD P MF-NMA 
M TEC W 
Manufacturing Instruction 
 
Making and insulating high voltage coils  
in VPI design 
FA_30337 - AE 
  
Page 21 of 34 
 
Intern / Restricted 
PD LD P MF-NMA M TEC W 
Christoph Schultheiss 
 
 
figure 9 
 
6 
Mechanical coil insulation 
Equipment:  
Programmable coil insulating machines: Mi155 (inv.-no. 611 590 und  
44204233), Mi171-3500 (inv.-no. 615783), Mi261 (inv.-no. 44206546), 
pressure control unit (W840511.010) 
 
Tools: 
shears, dispenser for adhesive tape, force gauge 
6.1 
Mechanical insulation in general 
 It is allowed to insulate coils by hand even if it’s possible to insulate them mechanically. Connection 
end insulation has to be done according to point 5 (>6,6 kV consult FA30414 Point 3). 
 Splices on mica tape aren’t allowed in the insulation. 
 Any damage to conductor insulation hast to be repaired (see part 12). 
 The winding ring has to be chosen according to the spread width (drawing). 
 
 
Position of eighter 
loop 
Acceleration pad 
Position of eighter 
loop 
FA_30337/AE/006 Released 2018-02-01
","Manufacturing Instruction: Making and insulating high voltage coils in VPI design. Mechanical coil insulation equipment includes programmable coil insulating machines and pressure control unit. Tools used are shears, dispenser for adhesive tape, and force gauge. General guidelines for mechanical insulation include hand insulation allowed, no splices on mica tape, damage to conductor insulation must be repaired, and winding ring selection based on spread width."
